date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zipcode,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed?,complaint_id
08/27/2022,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,U.S. Bancorp,CA,95992,,,Referral,09/01/2022,Closed with explanation,Yes,Yes,511075
08/28/2022,Credit reporting,,Incorrect information on credit report,Account status,,,Wells Fargo & Company,NY,11765,,,Postal mail,09/19/2022,Closed with explanation,Yes,No,510476
08/29/2022,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",MD,21403,,,Email,08/30/2022,Closed with explanation,Yes,Yes,510327
08/30/2022,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,,,Resurgent Capital Services L.P.,GA,30107,,,Web,08/31/2022,Closed with explanation,Yes,Yes,511068
09/01/2022,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,IL,60661,,,Referral,09/05/2022,Closed with explanation,Yes,No,511117
08/31/2022,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Wells Fargo & Company,CA,91105,,,Phone,09/04/2022,Closed with explanation,Yes,Yes,511081
09/02/2022,Credit card,,Application processing delay,,,,Capital One,NY,12207,,,Postal mail,09/06/2022,Closed with explanation,Yes,No,510099
08/29/2022,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,U.S. Bancorp,CA,95991,,,Email,08/30/2022,Closed with explanation,Yes,Yes,511072
09/03/2022,Bank account or service,Savings account,Deposits and withdrawals,,,,Bank of America,NY,12208,,,Web,09/04/2022,Closed with explanation,Yes,No,511118
08/28/2022,Student loan,Federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",MD,21401,,,Phone,08/29/2022,Closed with explanation,Yes,Yes,510325
09/04/2022,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,,,Resurgent Capital Services L.P.,GA,30105,,,Referral,09/07/2022,Closed with explanation,Yes,Yes,511070
08/30/2022,Credit reporting,,Incorrect information on credit report,Account status,,,Wells Fargo & Company,NY,11763,,,Email,08/31/2022,Closed with explanation,Yes,No,510474
09/01/2022,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Wells Fargo & Company,CA,91103,,,Postal mail,09/05/2022,Closed with explanation,Yes,Yes,511079
08/29/2022,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,IL,60659,,,Phone,08/30/2022,Closed with explanation,Yes,No,511115
